"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2001","Jack Cressend","Twins","3","2","0","44","0","56.1","6.39","2.56","0.96",".260","73.4 %"," "," ","3.67","3.92"," ","0.4","723"
"2009","Jason Grilli","- - -","2","3","1","52","0","45.2","9.66","5.32","0.79",".351","70.4 %","33.6 %","6.7 %","5.32","3.93","4.52","0.4","521"
"2007","Kerry Wood","Cubs","1","1","0","22","0","24.1","8.88","4.81","0.00",".281","71.0 %","33.9 %","0.0 %","3.33","2.87","4.42","0.4","304"
"2009","Clay Zavada","Diamondbacks","3","3","0","49","0","51.0","9.18","4.24","0.88",".292","76.9 %","27.8 %","7.4 %","3.35","3.92","4.40","0.4","8577"
"2005","Eric Gagne","Dodgers","1","0","8","14","0","13.1","14.85","2.03","1.35",".308","88.2 %","51.9 %","20.0 %","2.70","2.35","1.43","0.4","650"
"2003","Mark Malaska","Devil Rays","2","1","0","22","0","16.0","9.56","6.75","0.00",".325","73.1 %","59.0 %","0.0 %","2.81","3.34","4.26","0.4","1769"
"2004","Al Reyes","Cardinals","0","0","0","12","2","12.0","8.25","1.50","0.00",".107","80.0 %","38.5 %","0.0 %","0.75","1.72","3.26","0.4","1005"
"2002","Sterling Hitchcock","Yankees","1","2","0","20","2","39.1","7.09","3.43","0.92",".373","65.3 %","33.8 %","7.5 %","5.49","3.93","4.47","0.4","824"
"2001","Trevor Hoffman","Padres","3","4","43","62","0","60.1","9.40","3.13","1.49",".248","80.4 %"," "," ","3.43","4.21"," ","0.4","1035"
"2007","Juan Oviedo","Royals","2","4","0","13","6","43.2","7.63","2.06","1.65",".283","77.1 %","32.3 %","12.3 %","3.92","4.61","4.10","0.4","2886"
"2001","Mike Venafro","Rangers","5","5","4","70","0","60.0","4.35","4.20","0.30",".260","62.7 %"," "," ","4.80","4.27"," ","0.4","943"
"2005","Juan Dominguez","Rangers","4","6","0","22","10","70.1","5.76","3.20","1.41",".293","75.9 %","43.2 %","13.3 %","4.22","4.93","4.52","0.4","1796"
"2009","Sidney Ponson","Royals","1","7","0","14","9","58.2","4.91","3.84","0.92",".351","57.4 %","49.3 %","10.0 %","7.36","4.72","4.73","0.4","161"
"2007","Jason Jennings","Astros","2","9","0","19","18","99.0","6.45","3.09","1.73",".313","63.9 %","35.2 %","13.1 %","6.45","5.39","4.73","0.4","434"
"2007","Mark Redman","- - -","2","4","0","11","8","41.1","5.88","3.70","1.31",".358","58.9 %","35.5 %","9.0 %","7.62","5.20","5.35","0.4","491"
"2007","Shane Youman","Pirates","3","5","0","16","8","57.1","4.55","3.61","0.78",".306","61.2 %","38.3 %","6.3 %","5.97","4.77","5.37","0.4","3888"
"2001","Jim Brower","Reds","7","10","1","46","10","129.1","6.54","4.18","1.18",".266","74.3 %"," "," ","3.97","4.81"," ","0.4","313"
"2006","Mike O'Connor","Nationals","3","8","0","21","20","105.0","5.06","3.86","1.29",".246","68.5 %","36.2 %","9.9 %","4.80","5.37","5.54","0.4","6457"
"2008","Brandon Duckworth","Royals","3","3","0","7","7","38.0","4.74","4.50","0.47",".293","69.9 %","44.8 %","5.0 %","4.50","4.50","5.20","0.4","954"
"2003","Kazuhiro Sasaki","Mariners","1","2","10","35","0","33.1","7.83","4.05","0.54",".282","67.9 %","30.0 %","4.1 %","4.05","3.51","4.88","0.4","1098"
"2007","Steve Trachsel","- - -","7","11","0","29","29","158.0","3.19","4.33","1.08",".286","72.6 %","41.2 %","8.6 %","4.90","5.58","5.77","0.4","898"
"2006","Dave Borkowski","Astros","3","2","0","40","0","71.0","6.59","2.92","1.01",".287","67.2 %","46.6 %","10.1 %","4.69","4.12","4.22","0.4","2002"
"2008","Nelson Figueroa","Mets","3","3","0","16","6","45.1","7.15","5.16","0.60",".313","69.6 %","40.7 %","5.4 %","4.57","4.26","5.03","0.4","683"
"2000","Matt Mantei","Diamondbacks","1","1","17","47","0","45.1","10.52","6.95","0.79",".255","70.5 %"," "," ","4.57","4.39"," ","0.4","64"
"2008","George Sherrill","Orioles","3","5","31","57","0","53.1","9.79","5.57","1.01",".291","73.0 %","34.2 %","7.8 %","4.73","4.33","4.77","0.4","6291"
"2008","Edwar Ramirez","Yankees","5","1","1","55","0","55.1","10.25","3.90","1.14",".272","75.2 %","33.1 %","10.9 %","3.90","3.96","3.84","0.4","4830"
"2002","Seth Greisinger","Tigers","2","2","0","8","8","37.2","3.35","3.11","0.96",".309","62.5 %","35.3 %","8.2 %","6.21","4.71","5.14","0.4","467"
"2006","Chad Paronto","Braves","2","3","0","65","0","56.2","6.51","3.02","0.79",".284","76.5 %","42.6 %","9.3 %","3.18","4.01","4.20","0.4","399"
"2003","Jason Grimsley","Royals","2","6","0","76","0","75.0","6.96","4.32","0.72",".340","68.0 %","63.6 %","13.6 %","5.16","4.16","3.98","0.4","602"
"2007","Ian Kennedy","Yankees","1","0","0","3","3","19.0","7.11","4.26","0.47",".231","77.7 %","26.4 %","3.7 %","1.89","3.77","4.86","0.4","6986"
"2007","Frank Francisco","Rangers","1","1","0","59","0","59.1","7.43","5.76","0.46",".307","69.0 %","35.3 %","4.1 %","4.55","4.27","5.17","0.4","1933"
"2002","Mickey Callaway","Angels","2","1","0","6","6","34.1","6.03","2.88","1.05",".255","63.5 %","63.6 %","16.7 %","4.19","4.36","3.81","0.4","7"
"2008","Robinson Tejeda","- - -","2","2","0","29","1","45.1","8.93","4.76","0.79",".205","62.5 %","32.8 %","7.3 %","3.97","3.95","4.40","0.4","2575"
